Bd_DisCh_EVBat,Bd_E_HW,Bd_Fl_HP,Bd_FracCh_Bat,Bd_FracCh_EVBat,Bd_Frac_Vent_sp_out,Bd_Pw_Bat_sp_out,Bd_T_HP_return,Bd_T_HP_sp_out,Bd_T_HP_supply,Ext_Irr,Ext_P,Ext_RH,Ext_T,Fa_ECh_Bat,Fa_ECh_EVBat,Fa_EDCh_Bat,Fa_EDCh_EVBat,Fa_E_All,Fa_E_Appl,Fa_E_HVAC,Fa_E_Light,Fa_E_self,Fa_Pw_All,Fa_Pw_Prod,Fa_Stat_EV,HVAC_Pw_HP,HVAC_onoff_HP,P1_FlFrac_HW,P1_T_Tank,P1_T_Tank_sp_out,P1_T_Thermostat_sp_out,P2_FlFrac_HW,P2_T_Tank,P2_T_Tank_sp_out,P2_T_Thermostat_sp_out,P3_FlFrac_HW,P3_T_Tank,P3_T_Tank_sp_out,P3_T_Thermostat_sp_out,P4_FlFrac_HW,P4_T_Tank,P4_T_Tank_sp_out,P4_T_Thermostat_sp_out,Z01_E_Appl,Z01_RH,Z01_T,Z02_E_Appl,Z02_RH,Z02_T,Z03_E_Appl,Z03_RH,Z03_T,Z04_E_Appl,Z04_RH,Z04_T,Z05_E_Appl,Z05_RH,Z05_T,Z06_E_Appl,Z06_RH,Z06_T,Z07_E_Appl,Z07_RH,Z07_T,Z08_E_Appl,Z08_RH,Z08_T
0,13.37112091,0,0,0,0.5,0,50.08883865,45,50.08883865,0,102500,90.5,5.22,0,0,0,0,977.5840444,0,977.5840444,0,977.5840444,19662.28126,0,0,0,1,0,51.4311815,50,21,0,51.4311815,50,21,0,51.4311815,50,21,0,51.4311815,50,21,0,36.00037733,19.96226965,0,37.93010503,19.46550588,0,35.98990144,20.02760569,0,38.85637131,19.586178,0,36.78231022,19.63892042,0,37.41289232,19.94351626,0,36.33866024,19.84820888,0,38.27002165,19.58118617
0,13.83915945,0,0,0,0.5,0,46.64909233,45,46.64909233,0,102500,89.25,5.33,0,0,0,0,983.1140629,0,983.1140629,0,983.1140629,12750.30439,0,0,0,1,0,52.31602162,50,21,0,52.31602162,50,21,0,52.31602162,50,21,0,52.31602162,50,21,0,35.68536185,20.03187725,0,37.63422734,19.53030365,0,35.66158213,20.0979791,0,38.36366102,19.73659335,0,36.34120752,19.76049242,0,36.99228804,20.07259009,0,35.95219255,19.94641091,0,37.82374742,19.71228161
0,14.27328808,1.8847944,0,0,0.5,0,44.47593926,45,49.48409193,0,102500,88,5.44,0,0,0,0,637.5152195,0,637.5152195,0,637.5152195,12403.44296,0,0,10858.50864,1,0,52.48895266,50,21,0,52.48895266,50,21,0,52.48895266,50,21,0,52.48895266,50,21,0,35.36663931,20.10270305,0,37.30705861,19.60668359,0,35.33126885,20.16945911,0,37.95216726,19.85346489,0,35.95744509,19.85615758,0,36.66500099,20.15998985,0,35.63685692,20.01164321,0,37.45240442,19.81089074
0,14.35859169,1.8847944,0,0,0.5,0,44.31303084,45,49.35935759,0,102500,86.75,5.55,0,0,0,0,620.172148,0,620.172148,0,620.172148,12378.8183,0,0,10833.88398,1,0,52.47350439,50,21,0,52.47350439,50,21,0,52.47350439,50,21,0,52.47350439,50,21,0,35.05011105,20.17125366,0,36.99043851,19.67642907,0,35.00420568,20.23871076,0,37.58598968,19.95075989,0,35.60409206,19.93710208,0,36.36687736,20.23258727,0,35.34348679,20.06556583,0,37.12210929,19.89056888
0,14.35159509,1.8847944,0,0,0.5,0,44.53840815,45,49.59524243,0,102500,85.5,5.66,0,0,0,0,618.9409149,0,618.9409149,0,618.9409149,12420.79124,0,0,10875.85692,1,0,52.45806362,50,21,0,52.45806362,50,21,0,52.45806362,50,21,0,52.45806362,50,21,0,34.7368418,20.23675744,0,36.68731166,19.7381205,0,34.68129408,20.30496339,0,37.23768923,20.0393857,0,35.26175655,20.01186396,0,36.07148177,20.30161625,0,35.05210901,20.11713967,0,36.80649372,19.96215309
0,14.34460206,1.8847944,0,0,0.5,0,44.64817532,45,49.67639425,0,102500,84.25,5.77,0,0,0,0,621.0395618,0,621.0395618,0,621.0395618,12437.02185,0,0,10892.08753,1,0,52.44263036,50,21,0,52.44263036,50,21,0,52.44263036,50,21,0,52.44263036,50,21,0,34.42405892,20.30045047,0,36.38867338,19.79562241,0,34.35973766,20.36942272,0,36.89290536,20.1251339,0,34.92054372,20.084925,0,35.7707035,20.37063883,0,34.75654313,20.16917182,0,36.49167125,20.0314571
0,14.3376126,1.8847944,0,0,0.5,0,44.76026319,45,49.7696267,0,102500,83,5.88,0,0,0,0,621.8510927,0,621.8510927,0,621.8510927,12454.88964,0,0,10909.95532,1,0,52.42720459,50,21,0,52.42720459,50,21,0,52.42720459,50,21,0,52.42720459,50,21,0,34.1101399,20.36310296,0,36.08867218,19.85150378,0,34.0378845,20.43283793,0,36.54784966,20.20952484,0,34.57799815,20.15740922,0,35.46476872,20.43965162,0,34.45684306,20.22162588,0,36.17406331,20.10001424
0,14.3306267,1.8847944,0,0,0.5,0,44.85402566,45,49.84712844,0,102500,81.75,5.99,0,0,0,0,622.7444821,0,622.7444821,0,622.7444821,12469.77521,0,0,10924.84089,1,0,52.41178631,50,21,0,52.41178631,50,21,0,52.41178631,50,21,0,52.41178631,50,21,0,33.79466747,20.42491601,0,35.7854091,19.90663189,0,33.7152671,20.49540129,0,36.20279794,20.29241136,0,34.23444184,20.22914246,0,35.15554431,20.50792075,0,34.15427526,20.2738882,0,35.85408367,20.16766767
0,14.32364438,1.8847944,0,0,0.5,0,44.93536509,45,49.91385524,0,102500,80.5,6.1,0,0,0,0,623.4887607,0,623.4887607,0,623.4887607,12482.62526,0,0,10937.69094,1,0,52.39637553,50,21,0,52.39637553,50,21,0,52.39637553,50,21,0,52.39637553,50,21,0,33.47772131,20.48583584,0,35.47886068,19.96104916,0,33.39190064,20.55705644,0,35.8586029,20.37340137,0,33.89055403,20.29976575,0,34.84429717,20.57493966,0,33.84967924,20.32553095,0,35.53271217,20.23400853
0,14.31666562,1.8847944,0,0,0.5,0,44.99090407,45,49.95737191,0,102500,79.25,6.21,0,0,0,0,624.1312631,0,624.1312631,0,624.1312631,12491.14402,0,0,10946.2097,1,0,52.38097223,50,21,0,52.38097223,50,21,0,52.38097223,50,21,0,52.38097223,50,21,0,33.15946035,20.545761,0,35.16944635,20.01459422,0,33.06788597,20.61770123,0,35.51569754,20.45226669,0,33.54670761,20.36905359,0,34.53156968,20.64049678,0,33.54337647,20.37636173,0,35.21051385,20.29878871
