feature_name,importance
Fa_Pw_All,0.0026653534247826904
Bd_Fl_HP,0.0022198798508166195
HVAC_Pw_HP,0.001635387215637385
neg_Fa_Pw_All,0.0013507803855716816
Z04_T,0.0006106443702991182
Bd_T_HP_supply,0.0005608871775442115
neg_Bd_Fl_HP,0.0004976096993487555
HVAC_onoff_HP,0.00040115151147834816
Fa_EDCh_Bat,0.0003843517337986935
neg_HVAC_Pw_HP,0.00038064791163860967
P3_T_Tank,0.0003733244718981954
P3_T_Thermostat_sp_out,0.0003726438641009633
Bd_T_HP_sp_out,0.00032077848473410775
neg_Ext_Irr,0.00030121734692278856
P1_T_Thermostat_sp_out,0.00027376691455427427
P4_T_Tank,0.00023966451568813163
Z02_T,0.00022845737106780284
P2_T_Thermostat_sp_out,0.00022374587135964852
P1_T_Tank,0.00022247831490740388
neg_Bd_E_HW,0.00020873213398009405
Z06_T,0.0001975574279857728
P1_FlFrac_HW,0.00017489951135551962
neg_P1_T_Thermostat_sp_out,0.00017391775726260938
Z01_E_Appl,0.0001698051064409345
neg_Fa_Pw_Prod,0.00015363165994730643
Fa_E_Light,0.0001526584761095684
neg_Z03_RH,0.00015169194105690842
neg_Z08_RH,0.00015099256412431927
P4_T_Tank_sp_out,0.00014719696323450826
neg_Z05_RH,0.0001429711283209567
P2_T_Tank,0.00014025815593643465
P3_FlFrac_HW,0.00013375836103901584
Z08_T,0.00011737024063607215
Z03_E_Appl,0.00010139123118668714
Z07_T,9.9066087931865e-05
neg_Ext_T,9.572013267589163e-05
neg_Bd_FracCh_Bat,8.746885751143019e-05
neg_P4_FlFrac_HW,7.868815049083544e-05
Bd_T_HP_return,7.31558731934534e-05
neg_Bd_DisCh_EVBat,7.310035445717844e-05
neg_Z06_RH,7.011385616917387e-05
neg_Z07_RH,6.980457278316088e-05
Z01_RH,6.266624542416999e-05
neg_Z04_RH,6.009014595242945e-05
Z05_T,2.6564511082183273e-05
neg_Fa_ECh_Bat,1.751074682210252e-05
neg_Fa_E_Appl,1.738468279510741e-05
neg_Bd_Pw_Bat_sp_out,1.5226470829965422e-05
Z02_RH,1.4916690074917582e-05
Z08_RH,1.2786698186273426e-05
Ext_P,7.382013296419743e-06
neg_time,1.8190465274070533e-06
Z07_E_Appl,1.0755946102669611e-06
neg_Bd_T_HP_supply,2.2810796340699824e-07
neg_Z08_E_Appl,0.0
neg_Z06_E_Appl,0.0
neg_Bd_FracCh_EVBat,0.0
neg_Bd_Frac_Vent_sp_out,0.0
